,HEK293T,HeLa,A549,HaCaT,MCF7,HUH7,PC3,Tera1,JEG3,SKNSH
0_lib2_controls_1,0.872641569949225,0.8368274967389201,0.8632272709082569,0.8405298864918254,0.9348877929886286,0.8166165692888371,0.8724734667236825,0.7892299515557442,0.7240015986480797,0.9082326668949777
0_lib2_controls_2,0.6819211777334699,0.7386499833523938,0.7679262492784281,0.672997839721446,1.3417281252990891,1.926811244696328,0.9513805554118047,1.0334315277233859,0.824647708921625,0.7127619468549039
0_lib2_controls_3,0.7424456814811671,0.7168866010956824,0.7783331589596616,0.6888999946784476,1.316235215597822,1.5375225496547298,1.1403877424125615,0.7575797340369975,0.6421211390209856,0.6095484630008785
0_lib2_controls_4,0.9694564257829281,1.2325584805369336,0.8621012825284843,1.0228325025903124,1.701180261107713,2.3841633378351945,1.7128045336097144,1.2377597391489286,1.132946654058944,1.1075076814062859
0_lib2_controls_5,1.006501055368125,1.6649330487774938,1.3735456829404897,1.1833379480086452,1.7807254793932799,3.1059501297891297,2.207913549148602,1.303632819413486,1.2760709485036585,1.0267971979298225
0_lib2_controls_6,0.4974243350206411,0.8627537431052897,0.4197841863094923,0.389680522275543,1.1573706735976483,1.8130648009161718,0.5719492093304451,0.9413632319364831,0.8421689326325436,0.7162518751659068
0_lib2_controls_7,0.7886447562320967,1.1319527473212196,0.769988868789311,0.7873856937046956,1.555607923736243,1.6494416967699141,0.9695881967971761,0.9766830827908516,1.000933315719031,0.8502744447276045
0_lib2_controls_8,0.750077281372586,0.7656373879546592,0.7259796230340863,0.8575949722701539,1.4223052513106722,1.3376361242198869,1.294480619153204,0.9721341574795702,0.8533427152312212,0.8394885144344492
0_lib2_controls_9,0.8808589993465602,1.308102678950398,0.8901738836241062,1.132885316031806,1.5808710819219212,2.498601661123423,1.6605868668043244,1.3872439729127313,1.2217610975582438,1.0068487253780554
0_lib2_controls_10,0.630473943249525,0.7821386861143086,0.597254518303494,0.5892105195221866,1.142155588783461,2.0920572868858094,0.8586376965153735,0.8979895721706805,0.9843704568044223,0.6989230801914323
0_lib2_controls_11,0.6966667904875663,0.8600139478580467,0.7172978894705739,0.7701194629945097,1.2197825316391995,1.6565151552318365,1.0862924401385,0.8970649455376608,0.8009926480717905,0.7147975432617985
0_lib2_controls_12,0.9803503244179487,0.9809897741745437,1.0868682728299242,0.9540982611532419,1.8695016823931585,2.024077230614456,1.3812639428216522,1.128391835165846,1.1535626460564927,1.0230953677143815
0_lib2_controls_13,0.9392577832106146,0.9075635939847237,0.9946892568536544,0.9241506883035543,1.5688038699392879,1.9685381384013518,1.2915221832756625,1.0723767083962994,1.0582835983395766,0.9170360172929364
0_lib2_controls_14,0.6074180932405336,0.7778090747491583,0.6485260208077196,0.5909304023066897,1.048229890548442,1.4038005221436998,1.0282735264860026,0.8282311511506049,0.6454634683710063,0.6022639309914783
0_lib2_controls_15,1.13407494146554,1.8232802120783045,1.4259608431944175,1.5354735651915656,1.969846593171874,3.08624260498861,2.637234144881,1.466200231050936,1.4167084471336195,1.087982532964333
0_lib2_controls_16,0.8963039713010476,1.2286490255699978,0.968514450831897,0.9129162721285023,1.3374064975277322,1.9358598641801237,1.7878230844838021,1.2299380362169274,1.1667440095118906,0.8030804619045439
0_lib2_controls_17,1.096132862292239,1.8274821263517662,1.2358783724041744,0.9906197744423912,1.6668761296523955,3.198136949006516,2.0872245660709914,1.5200968709758793,1.2577660791466792,1.1302014568794836
0_lib2_controls_18,0.5411855563538495,0.5495570768548914,0.49771395525637413,0.5960069759954594,1.3002923326971272,0.9750462936695591,0.82300647060663,0.7161197667986335,0.5434003843127827,0.6165862023377013
0_lib2_controls_19,0.7336798102244155,0.5826070231724144,0.6425762005421528,0.6742969031901104,1.220485607645028,1.3025908281809444,0.8304391460059137,0.8570864855363282,0.664581437672541,0.7791160618475669
0_lib2_controls_20,0.8746365365009261,1.0879208376644027,0.8969488378648806,0.9310731770706702,1.3644511171313878,2.3152444053630035,1.6305313846401297,1.2367437425240628,1.0761319090480264,1.0384646062660654
0_lib2_controls_21,0.6507693060073242,0.5723654223724102,0.6023260026127406,0.6385637569032425,1.1296610245133194,1.072704259606883,0.9215996247709065,0.8517758691723185,0.6350708638955884,0.6208351386285688
0_lib2_controls_22,0.5966897245848979,0.7831015594195128,0.6243307290805098,0.6790176318008497,1.1898376353343596,1.1408136614246789,1.3170193657829679,0.8695993457167558,0.6176783930900052,0.8185185069782015
0_lib2_controls_23,0.5005042365466398,0.4729361831251237,0.5501184944810349,0.458602486750873,1.2953377151486565,0.9996927774833783,0.6241498101990839,0.6099678949600973,0.6143639068326412,0.5116802269731267
0_lib2_controls_24,0.852769286046155,1.4550832169934667,0.9559615967545277,0.7043530910648037,1.630631144638743,2.948522584158019,1.3184135486169424,1.314777539489441,1.2783385496503363,0.9415302960788902
0_lib2_controls_25,0.9514027351725951,0.8682712183713656,0.9468780272419004,0.826622397805524,1.312272221241585,1.771699382145591,1.0494692317942762,1.123544592534522,1.0507059617029113,0.7612079715249219
0_lib2_controls_26,0.755202111234497,1.125522492521184,0.7357388945512442,0.8851212437783976,1.3214387072438059,1.7895692877966267,1.7848621665784479,1.067748057973393,0.8253027427261374,1.1599166274762078
0_lib2_controls_27,0.44417566395356284,0.43407635428287694,0.45097568539992255,0.38723713662807246,1.1874640190614798,0.9008036083203671,0.7356595499818206,0.6075544713684289,0.46474598059178535,0.5443539034659006
0_lib2_controls_28,0.7595366784127678,0.8547579996698225,0.9037240415564254,0.7071169181086687,1.4213296281487955,1.672296359734458,1.3548285675084895,0.9375723689127573,0.8600676494741507,0.858420918460177
0_lib2_controls_29,1.2502945686332445,1.554806327446908,1.3882286842129747,1.173826131015692,1.840217659868014,2.9494756576636316,2.2804158127735796,1.4298921307268722,1.5274143362781776,1.1692844437329344
0_lib2_controls_30,0.7335162092215808,1.043758551777462,0.6914565999712252,0.7114282147832415,1.4022703866222375,2.000363707291111,1.1911514738646094,0.9889625025602362,0.961735300403004,0.8332180563946343
0_lib2_controls_31,0.8908626527966369,1.8056001381176954,1.4043392028317823,1.078603770326437,1.6883218966148832,2.946625314226561,2.1359860390449787,1.343761315173043,1.3601829134848011,0.9712876682649219
0_lib2_controls_32,1.0172621543645988,1.8859168643174278,1.2623270164098508,1.2826813023882837,1.9155437937824584,3.086112442592234,2.507901365004598,1.520934869158494,1.3754302648563748,1.2961388334148003
0_lib2_controls_33,1.1608925457498405,1.743665427477789,1.1366177724250068,1.098653715423625,1.7886983671627155,2.7782643484183245,2.3949851116155423,1.5944235252638106,1.4080798555942462,1.2509403721205696
0_lib2_controls_34,0.903526938156909,1.0053638890917185,0.7713070308749304,0.9081190453767126,1.2791203947412888,1.801460826981929,1.5225755977583098,1.1489311120157557,0.9240004388782546,0.9552005934250372
0_lib2_controls_35,0.749323504388915,1.0717990170034737,0.704974146170899,0.9935957054338083,1.636856229277046,1.62856703657843,1.6458088872604846,1.1891654327554082,0.9462243640720255,1.094029323113347
0_lib2_controls_36,0.6158931040522327,0.7465160807540954,0.7079828351015914,0.6778108462702931,1.4163775987121547,1.5053242244406593,0.982537579934527,0.8845506229374417,0.7819558923000838,0.7960959195667676
0_lib2_controls_37,0.4921005960411166,0.728190618329297,0.47129372860845425,0.5004010136322701,1.084327564680109,1.2270692119801856,0.7658014163138064,0.9380865595442551,0.7280092780735112,0.8626911570915939
